Order ID,Date,Product Name,Category,Quantity,Unit Price,Discount (%),Total Revenue,Shipping Cost,Customer Country,Customer Segment,Order Channel,Payment Method,Order Status
ORD-0032,2024-04-12,Launch Pad Mini,Hardware,7,129.19,30,633.03,12.1,Canada,Company,Mobile App,PayPal,Completed
ORD-0033,2024-05-02,Rocket Motor XZ-100,Engines,7,160.49,15,954.92,7.14,Germany,Company,Mobile App,PayPal,Pending
ORD-0034,2024-02-23,Ignition Module V2,Electronics,3,110.61,15,282.06,1.84,UK,Company,Mobile App,Stripe,Refunded
ORD-0035,2024-02-21,Ignition Module V2,Electronics,7,34.01,5,226.17,12.71,Japan,Company,Mobile App,Manual,Refunded
ORD-0036,2024-05-01,Launch Pad Mini,Hardware,8,43.8,20,280.32,2.91,Germany,Company,Online,Manual,Pending
ORD-0037,2024-03-13,Fuel Cell GX,Fuel Systems,6,178.62,10,964.55,0.63,UK,University,Mobile App,Manual,Refunded
ORD-0038,2024-04-01,Rocket Motor XZ-100,Engines,5,185.67,30,649.85,9.76,Japan,Hobbyist,Online,Stripe,Refunded
ORD-0039,2024-04-01,Thruster C-21,Engines,5,91.03,0,455.15,3.92,USA,University,Online,PayPal,Pending
ORD-0040,2024-02-01,Ignition Module V2,Electronics,8,160.65,0,1285.2,12.46,USA,Hobbyist,Online,Stripe,Refunded
ORD-0041,2024-05-31,Flight Computer ZB,Electronics,2,104.34,25,156.51,1.4,UK,Hobbyist,Referral,Stripe,Completed
ORD-0042,2024-02-10,Flight Computer ZB,Electronics,9,54.99,20,395.93,8.93,Canada,Company,Mobile App,Manual,Refunded
ORD-0043,2024-01-19,Flight Computer ZB,Electronics,3,47.36,30,99.46,4.18,Japan,Company,Mobile App,Manual,Completed
ORD-0044,2024-02-24,Fuel Cell GX,Fuel Systems,9,187.32,10,1517.29,14.67,UK,Hobbyist,Mobile App,Manual,Refunded
ORD-0045,2024-04-04,Ignition Module V2,Electronics,8,185.98,10,1339.06,11.82,Mexico,Company,Referral,Stripe,Completed
ORD-0046,2024-03-05,Rocket Motor XZ-100,Engines,6,141.88,25,638.46,8.65,Mexico,University,Online,Stripe,Completed
ORD-0047,2024-04-01,Thruster C-21,Engines,10,69.39,0,693.9,13.55,USA,Company,Referral,Manual,Refunded
ORD-0048,2024-03-11,Rocket Motor XZ-100,Engines,9,141.72,0,1275.48,3.61,Germany,University,Online,Manual,Refunded
ORD-0049,2024-03-15,Thruster C-21,Engines,8,187.08,0,1496.64,10.48,UK,Hobbyist,Referral,PayPal,Completed
ORD-0050,2024-02-17,Flight Computer ZB,Electronics,5,183.58,10,826.11,9.75,Brazil,University,Referral,Manual,Completed
ORD-0051,2024-04-01,Parachute Recovery Pack,Safety,6,175.83,0,1054.98,12.71,Germany,Hobbyist,Online,PayPal,Refunded
ORD-0052,2024-06-18,Rocket Motor XZ-100,Engines,1,101.13,10,91.02,3.04,USA,University,Referral,Stripe,Refunded
ORD-0053,2024-02-25,Flight Computer ZB,Electronics,10,29.1,20,232.8,5.77,UK,Hobbyist,Mobile App,PayPal,Completed
ORD-0054,2024-02-21,Thruster C-21,Engines,10,172.13,10,1549.17,13.6,Canada,Hobbyist,Online,PayPal,Pending
ORD-0055,2024-01-20,Fuel Cell GX,Fuel Systems,1,119.1,0,119.1,6.67,USA,Hobbyist,Referral,Stripe,Refunded
ORD-0056,2024-06-21,Parachute Recovery Pack,Safety,2,80.48,10,144.86,1.45,Germany,Hobbyist,Online,Stripe,Pending
ORD-0057,2024-06-25,Parachute Recovery Pack,Safety,1,59.92,25,44.94,9.91,Mexico,University,Online,PayPal,Pending
ORD-0058,2024-06-05,Rocket Motor XZ-100,Engines,3,76.67,25,172.51,5.16,Japan,University,Referral,PayPal,Pending
ORD-0059,2024-01-29,Parachute Recovery Pack,Safety,7,86.8,5,577.22,8.25,UK,University,Referral,Manual,Completed
ORD-0060,2024-01-16,Rocket Motor XZ-100,Engines,5,174.89,0,874.45,13.72,Brazil,Company,Online,Manual,Completed
ORD-0061,2024-04-20,Fuel Cell GX,Fuel Systems,8,189.33,20,1211.71,2.24,Canada,Company,Referral,Manual,Pending
ORD-0062,2024-02-23,Fuel Cell GX,Fuel Systems,8,38.11,25,228.66,8.67,UK,Company,Mobile App,Manual,Refunded
ORD-0063,2024-06-13,Launch Pad Mini,Hardware,6,89.39,5,509.52,14.86,Germany,Company,Referral,Manual,Completed
ORD-0064,2024-06-07,Parachute Recovery Pack,Safety,2,107.25,0,214.5,13.12,USA,Company,Referral,PayPal,Completed
ORD-0065,2024-04-10,Flight Computer ZB,Electronics,6,80.95,5,461.42,4.55,Germany,Hobbyist,Online,Manual,Refunded
ORD-0066,2024-02-28,Thruster C-21,Engines,7,29.16,25,153.09,14.58,Japan,University,Online,Stripe,Completed
ORD-0067,2024-02-02,Thruster C-21,Engines,7,70.3,20,393.68,8.24,Japan,University,Mobile App,Stripe,Pending
ORD-0068,2024-06-30,Ignition Module V2,Electronics,6,195.58,0,1173.48,0.22,Brazil,Hobbyist,Referral,Manual,Refunded
ORD-0069,2024-06-05,Flight Computer ZB,Electronics,8,178.09,5,1353.48,8.4,USA,Hobbyist,Referral,Stripe,Completed
ORD-0070,2024-01-09,Thruster C-21,Engines,1,199.22,30,139.45,4.13,Brazil,University,Referral,PayPal,Completed
ORD-0071,2024-01-30,Flight Computer ZB,Electronics,3,43.67,15,111.36,5.6,Canada,Company,Online,Stripe,Completed
ORD-0072,2024-05-26,Telemetry Kit Alpha,Electronics,4,199.85,0,799.4,1.09,Canada,Company,Online,PayPal,Completed
ORD-0073,2024-06-16,Launch Pad Mini,Hardware,6,72.84,5,415.19,7.42,UK,University,Referral,Manual,Completed
ORD-0074,2024-01-26,Parachute Recovery Pack,Safety,6,68.89,15,351.34,10.21,Japan,Company,Mobile App,PayPal,Refunded
ORD-0075,2024-02-25,Rocket Motor XZ-100,Engines,4,195.66,25,586.98,6.03,Germany,University,Referral,Stripe,Refunded
ORD-0076,2024-06-07,Rocket Motor XZ-100,Engines,7,179.82,5,1195.8,5.33,Germany,Hobbyist,Online,Manual,Completed
ORD-0077,2024-02-05,Rocket Motor XZ-100,Engines,10,82.85,25,621.38,3.04,UK,Hobbyist,Online,PayPal,Pending
ORD-0078,2024-01-23,Fuel Cell GX,Fuel Systems,6,146.52,15,747.25,13.27,Japan,Company,Referral,Manual,Refunded
ORD-0079,2024-01-18,Ignition Module V2,Electronics,7,170.11,10,1071.69,4.19,USA,University,Referral,Stripe,Pending
ORD-0080,2024-03-30,Rocket Motor XZ-100,Engines,8,93.98,15,639.06,3.29,Canada,Hobbyist,Referral,PayPal,Refunded
ORD-0081,2024-02-18,Thruster C-21,Engines,9,158.7,10,1285.47,12.79,USA,Company,Mobile App,PayPal,Refunded
ORD-0082,2024-06-29,Launch Pad Mini,Hardware,3,114.52,10,309.2,14.55,Mexico,Hobbyist,Online,Stripe,Pending
ORD-0083,2024-03-02,Telemetry Kit Alpha,Electronics,9,86.5,25,583.88,10.3,Japan,Hobbyist,Referral,Stripe,Completed
ORD-0084,2024-01-11,Parachute Recovery Pack,Safety,9,148.76,25,1004.13,10.01,Japan,Company,Referral,PayPal,Completed
ORD-0085,2024-03-21,Ignition Module V2,Electronics,8,127.04,5,965.5,6.94,UK,University,Referral,Stripe,Pending
ORD-0086,2024-04-06,Launch Pad Mini,Hardware,3,24.53,20,58.87,10.12,Germany,Company,Online,PayPal,Pending
ORD-0087,2024-04-24,Flight Computer ZB,Electronics,3,104.42,0,313.26,14.09,Brazil,Hobbyist,Mobile App,Stripe,Refunded
ORD-0088,2024-04-09,Fuel Cell GX,Fuel Systems,1,53.07,0,53.07,0.9,UK,Hobbyist,Mobile App,Stripe,Refunded
ORD-0089,2024-02-24,Rocket Motor XZ-100,Engines,10,127.38,5,1210.11,4.03,Mexico,University,Mobile App,PayPal,Pending
ORD-0090,2024-06-24,Rocket Motor XZ-100,Engines,2,48.02,25,72.03,13.94,Canada,Hobbyist,Online,PayPal,Pending
ORD-0091,2024-02-23,Fuel Cell GX,Fuel Systems,2,172.71,20,276.34,9.12,UK,Company,Referral,Stripe,Refunded
ORD-0092,2024-04-09,Flight Computer ZB,Electronics,3,182.59,10,492.99,3.04,Brazil,Company,Mobile App,Stripe,Completed
ORD-0093,2024-02-03,Telemetry Kit Alpha,Electronics,10,29.61,25,222.07,11.68,Japan,University,Referral,Manual,Pending
ORD-0094,2024-01-08,Fuel Cell GX,Fuel Systems,8,97.51,10,702.07,8.13,Japan,University,Online,Manual,Pending
ORD-0095,2024-03-08,Thruster C-21,Engines,1,140.75,10,126.67,1.3,Germany,Company,Mobile App,PayPal,Completed
ORD-0096,2024-07-01,Flight Computer ZB,Electronics,8,60.15,20,384.96,7.96,USA,Company,Mobile App,Manual,Completed
ORD-0097,2024-04-26,Launch Pad Mini,Hardware,10,178.08,15,1513.68,9.01,Japan,Hobbyist,Online,Stripe,Completed
ORD-0098,2024-04-29,Fuel Cell GX,Fuel Systems,4,57.67,30,161.48,1.05,UK,Company,Mobile App,PayPal,Refunded
ORD-0099,2024-06-19,Ignition Module V2,Electronics,9,154.75,15,1183.84,14.58,Germany,Company,Referral,PayPal,Pending
ORD-0100,2024-04-23,Thruster C-21,Engines,6,75.22,30,315.92,12.93,Mexico,Hobbyist,Mobile App,PayPal,Pending
ORD-0101,2024-01-05,Telemetry Kit Alpha,Electronics,6,101.21,10,546.53,6.74,USA,University,Mobile App,Stripe,Completed
ORD-0102,2024-06-28,Flight Computer ZB,Electronics,3,178.88,20,429.31,9.02,UK,University,Referral,PayPal,Completed
ORD-0103,2024-06-08,Telemetry Kit Alpha,Electronics,6,150.12,30,630.5,8.76,Canada,University,Online,Manual,Refunded
ORD-0104,2024-06-11,Flight Computer ZB,Electronics,5,169.02,25,633.83,3.44,Japan,Hobbyist,Mobile App,Stripe,Completed
ORD-0105,2024-03-25,Flight Computer ZB,Electronics,8,56.23,25,337.38,0.86,UK,Company,Mobile App,Stripe,Refunded
ORD-0106,2024-03-03,Flight Computer ZB,Electronics,7,43.82,30,214.72,5.69,Japan,Company,Mobile App,Manual,Pending
ORD-0107,2024-06-03,Fuel Cell GX,Fuel Systems,10,68.23,5,648.18,6.41,Canada,University,Mobile App,PayPal,Completed
ORD-0108,2024-02-14,Ignition Module V2,Electronics,6,64.78,20,310.94,7.1,UK,Company,Mobile App,PayPal,Refunded
ORD-0109,2024-02-18,Telemetry Kit Alpha,Electronics,2,108.28,5,205.73,11.52,USA,Hobbyist,Online,Manual,Pending
ORD-0110,2024-04-26,Ignition Module V2,Electronics,5,191.46,10,861.57,10.21,Germany,Hobbyist,Online,PayPal,Pending
ORD-0111,2024-05-12,Flight Computer ZB,Electronics,2,193.9,25,290.85,8.47,Brazil,University,Mobile App,Stripe,Refunded
ORD-0112,2024-06-15,Launch Pad Mini,Hardware,10,93.5,15,794.75,0.93,USA,Hobbyist,Referral,Stripe,Completed
ORD-0113,2024-06-22,Ignition Module V2,Electronics,1,62.59,20,50.07,5.34,Mexico,Company,Online,PayPal,Completed
ORD-0114,2024-05-10,Flight Computer ZB,Electronics,2,67.61,10,121.7,1.23,Canada,Company,Online,Manual,Refunded
ORD-0115,2024-06-05,Thruster C-21,Engines,7,168.97,30,827.95,9.82,UK,University,Online,PayPal,Completed
ORD-0116,2024-01-15,Rocket Motor XZ-100,Engines,4,162.17,10,583.81,11.59,Germany,University,Referral,Manual,Refunded
ORD-0117,2024-06-11,Fuel Cell GX,Fuel Systems,1,62.61,10,56.35,9.93,USA,University,Mobile App,Stripe,Completed
ORD-0118,2024-01-17,Parachute Recovery Pack,Safety,4,194.35,20,621.92,14.34,Japan,University,Referral,Stripe,Completed
ORD-0119,2024-01-17,Ignition Module V2,Electronics,5,154.87,15,658.2,4.81,Brazil,Hobbyist,Mobile App,Manual,Completed
ORD-0120,2024-01-01,Telemetry Kit Alpha,Electronics,9,180.68,0,1626.12,0.46,USA,Company,Online,PayPal,Pending
ORD-0121,2024-03-09,Ignition Module V2,Electronics,5,69.02,0,345.1,8.9,USA,Hobbyist,Referral,PayPal,Completed
ORD-0122,2024-01-06,Telemetry Kit Alpha,Electronics,7,154.45,5,1027.09,8.8,Canada,Hobbyist,Online,PayPal,Refunded
ORD-0123,2024-05-20,Flight Computer ZB,Electronics,2,184.74,20,295.58,5.53,Brazil,Company,Online,PayPal,Refunded
ORD-0124,2024-05-29,Fuel Cell GX,Fuel Systems,9,61.72,20,444.38,8.86,Japan,University,Referral,Stripe,Refunded
ORD-0125,2024-04-11,Telemetry Kit Alpha,Electronics,4,195.97,30,548.72,10.91,Germany,Hobbyist,Online,Stripe,Completed
ORD-0126,2024-04-04,Launch Pad Mini,Hardware,8,99.46,15,676.33,8.4,Japan,University,Mobile App,Manual,Completed
ORD-0127,2024-03-14,Fuel Cell GX,Fuel Systems,1,158.48,5,150.56,10.06,USA,Hobbyist,Online,Manual,Refunded
ORD-0128,2024-06-05,Parachute Recovery Pack,Safety,5,107.32,0,536.6,5.82,UK,Company,Online,PayPal,Pending
ORD-0129,2024-02-21,Launch Pad Mini,Hardware,9,126.37,25,853.0,2.73,Mexico,University,Mobile App,Stripe,Pending
ORD-0130,2024-04-18,Fuel Cell GX,Fuel Systems,8,83.77,10,603.14,7.93,USA,Hobbyist,Referral,Stripe,Pending
ORD-0131,2024-02-23,Thruster C-21,Engines,8,157.7,20,1009.28,14.06,Germany,Hobbyist,Mobile App,PayPal,Pending
ORD-0132,2024-06-18,Launch Pad Mini,Hardware,9,134.42,20,967.82,8.65,Canada,University,Online,Stripe,Pending
ORD-0133,2024-05-16,Thruster C-21,Engines,8,158.11,0,1264.88,13.13,Japan,Hobbyist,Online,PayPal,Pending
ORD-0134,2024-03-01,Fuel Cell GX,Fuel Systems,9,30.48,15,233.17,8.22,Canada,Hobbyist,Referral,Manual,Refunded
ORD-0135,2024-06-24,Telemetry Kit Alpha,Electronics,4,114.61,30,320.91,2.85,Brazil,University,Referral,Stripe,Completed
ORD-0136,2024-03-13,Parachute Recovery Pack,Safety,8,104.18,5,791.77,5.84,Japan,University,Referral,Stripe,Pending
ORD-0137,2024-03-23,Thruster C-21,Engines,1,95.35,5,90.58,3.29,Mexico,Company,Referral,Stripe,Refunded
ORD-0138,2024-06-02,Telemetry Kit Alpha,Electronics,8,179.77,10,1294.34,7.42,Canada,University,Mobile App,Stripe,Completed
ORD-0139,2024-05-15,Telemetry Kit Alpha,Electronics,3,54.76,15,139.64,9.51,USA,University,Online,PayPal,Completed
ORD-0140,2024-01-22,Ignition Module V2,Electronics,7,115.13,10,725.32,14.4,Canada,University,Referral,Stripe,Completed
ORD-0141,2024-01-13,Fuel Cell GX,Fuel Systems,1,108.26,5,102.85,3.7,Japan,Hobbyist,Online,Stripe,Refunded
ORD-0142,2024-05-25,Flight Computer ZB,Electronics,8,60.87,10,438.26,11.44,Germany,University,Referral,PayPal,Refunded
ORD-0143,2024-04-21,Ignition Module V2,Electronics,6,101.46,0,608.76,3.02,Germany,Hobbyist,Mobile App,Stripe,Pending
ORD-0144,2024-05-06,Parachute Recovery Pack,Safety,2,56.11,15,95.39,6.02,USA,Company,Online,Stripe,Refunded
ORD-0145,2024-03-12,Fuel Cell GX,Fuel Systems,3,27.9,15,71.14,11.19,Mexico,Company,Referral,Stripe,Refunded
ORD-0146,2024-02-01,Flight Computer ZB,Electronics,5,167.34,0,836.7,3.31,Brazil,Company,Online,Manual,Pending
ORD-0147,2024-05-05,Rocket Motor XZ-100,Engines,3,125.96,30,264.52,0.11,Mexico,Company,Mobile App,Manual,Pending
ORD-0148,2024-02-17,Telemetry Kit Alpha,Electronics,5,59.53,15,253.0,12.28,USA,Company,Referral,Stripe,Completed
ORD-0149,2024-06-03,Ignition Module V2,Electronics,9,135.68,10,1099.01,12.77,Japan,Company,Online,PayPal,Completed
ORD-0150,2024-06-05,Parachute Recovery Pack,Safety,3,35.42,5,100.95,14.18,Mexico,Hobbyist,Mobile App,PayPal,Completed
ORD-0151,2024-04-25,Launch Pad Mini,Hardware,4,115.73,30,324.04,11.69,UK,Company,Mobile App,Manual,Refunded
ORD-0152,2024-01-21,Fuel Cell GX,Fuel Systems,6,30.94,25,139.23,10.83,Japan,Company,Referral,Stripe,Completed
ORD-0153,2024-05-05,Thruster C-21,Engines,6,107.62,5,613.43,2.09,Japan,University,Referral,PayPal,Completed
ORD-0154,2024-03-14,Rocket Motor XZ-100,Engines,2,92.54,15,157.32,4.04,UK,Company,Referral,Stripe,Completed
ORD-0155,2024-06-01,Telemetry Kit Alpha,Electronics,3,157.06,25,353.38,11.84,Germany,University,Online,Manual,Completed
ORD-0156,2024-03-28,Rocket Motor XZ-100,Engines,10,60.49,30,423.43,2.56,Mexico,Company,Referral,PayPal,Completed
ORD-0157,2024-02-07,Parachute Recovery Pack,Safety,7,39.5,30,193.55,12.78,Brazil,Hobbyist,Mobile App,Stripe,Completed
ORD-0158,2024-06-16,Launch Pad Mini,Hardware,6,168.01,30,705.64,7.57,USA,Hobbyist,Online,Stripe,Pending
ORD-0159,2024-02-25,Flight Computer ZB,Electronics,7,158.3,30,775.67,13.86,Canada,University,Mobile App,Manual,Refunded
ORD-0160,2024-04-18,Launch Pad Mini,Hardware,3,171.3,5,488.21,5.2,Canada,Hobbyist,Mobile App,PayPal,Completed
ORD-0161,2024-03-01,Parachute Recovery Pack,Safety,7,168.36,15,1001.74,3.09,Brazil,Company,Referral,Stripe,Completed
ORD-0162,2024-06-23,Launch Pad Mini,Hardware,7,34.07,10,214.64,5.57,Mexico,University,Online,PayPal,Refunded
ORD-0163,2024-04-14,Thruster C-21,Engines,5,92.68,30,324.38,0.79,Canada,Hobbyist,Online,Stripe,Refunded
ORD-0164,2024-04-03,Flight Computer ZB,Electronics,3,40.46,20,97.1,7.73,Japan,Company,Online,Stripe,Refunded
ORD-0165,2024-04-28,Fuel Cell GX,Fuel Systems,6,118.31,30,496.9,1.77,Germany,Hobbyist,Referral,PayPal,Pending
ORD-0166,2024-03-23,Ignition Module V2,Electronics,4,123.89,20,396.45,6.49,Japan,Company,Mobile App,PayPal,Refunded
ORD-0167,2024-02-08,Parachute Recovery Pack,Safety,2,117.47,15,199.7,13.06,UK,Hobbyist,Referral,PayPal,Refunded
ORD-0168,2024-02-29,Ignition Module V2,Electronics,1,81.8,20,65.44,2.66,Canada,University,Referral,Manual,Pending
ORD-0169,2024-03-01,Flight Computer ZB,Electronics,6,96.22,0,577.32,9.32,Mexico,University,Referral,Stripe,Pending
ORD-0170,2024-05-17,Parachute Recovery Pack,Safety,10,146.53,30,1025.71,5.31,Mexico,Company,Referral,PayPal,Pending
ORD-0171,2024-01-09,Rocket Motor XZ-100,Engines,10,160.73,10,1446.57,10.17,Mexico,University,Online,Manual,Pending
ORD-0172,2024-03-01,Fuel Cell GX,Fuel Systems,4,94.83,15,322.42,14.79,Mexico,Hobbyist,Mobile App,Stripe,Completed
ORD-0173,2024-05-27,Fuel Cell GX,Fuel Systems,1,182.21,20,145.77,2.39,Germany,University,Mobile App,Stripe,Pending
ORD-0174,2024-06-15,Ignition Module V2,Electronics,5,130.68,30,457.38,5.75,Japan,Company,Online,Manual,Refunded
ORD-0175,2024-03-30,Ignition Module V2,Electronics,4,179.96,10,647.86,9.82,UK,Company,Online,Manual,Refunded
ORD-0176,2024-05-14,Rocket Motor XZ-100,Engines,5,164.68,5,782.23,7.98,Germany,Company,Referral,Stripe,Completed
ORD-0177,2024-03-03,Flight Computer ZB,Electronics,1,110.1,10,99.09,7.88,Brazil,Company,Mobile App,PayPal,Pending
ORD-0178,2024-05-27,Parachute Recovery Pack,Safety,6,41.5,20,199.2,2.64,USA,University,Referral,Stripe,Refunded
ORD-0179,2024-04-27,Thruster C-21,Engines,6,33.17,20,159.22,2.38,UK,University,Online,Manual,Pending
ORD-0180,2024-02-06,Fuel Cell GX,Fuel Systems,7,100.11,20,560.62,12.96,Japan,University,Referral,Stripe,Refunded
ORD-0181,2024-03-23,Fuel Cell GX,Fuel Systems,5,52.94,5,251.46,3.37,Japan,University,Mobile App,PayPal,Completed
ORD-0182,2024-06-06,Fuel Cell GX,Fuel Systems,3,25.93,20,62.23,14.59,Brazil,Hobbyist,Mobile App,Stripe,Refunded
ORD-0183,2024-05-22,Launch Pad Mini,Hardware,9,83.77,20,603.14,4.29,USA,University,Referral,Manual,Completed
ORD-0184,2024-06-03,Launch Pad Mini,Hardware,9,107.76,15,824.36,10.48,Japan,Hobbyist,Mobile App,PayPal,Refunded
ORD-0185,2024-05-02,Thruster C-21,Engines,9,62.35,30,392.8,6.24,UK,Company,Mobile App,Manual,Completed
ORD-0186,2024-06-10,Thruster C-21,Engines,8,103.54,15,704.07,0.61,Japan,Company,Online,PayPal,Refunded
ORD-0187,2024-06-10,Rocket Motor XZ-100,Engines,10,40.4,25,303.0,11.27,Canada,Hobbyist,Mobile App,Stripe,Pending
ORD-0188,2024-03-16,Fuel Cell GX,Fuel Systems,10,136.26,10,1226.34,1.32,Mexico,University,Online,Manual,Pending
ORD-0189,2024-03-07,Rocket Motor XZ-100,Engines,6,171.27,25,770.72,11.98,Canada,Company,Referral,Stripe,Pending
ORD-0190,2024-03-31,Rocket Motor XZ-100,Engines,3,59.74,15,152.34,2.97,Canada,University,Mobile App,Manual,Pending
ORD-0191,2024-06-19,Parachute Recovery Pack,Safety,4,92.08,25,276.24,9.04,Canada,Company,Mobile App,Stripe,Completed
ORD-0192,2024-04-30,Rocket Motor XZ-100,Engines,8,169.06,30,946.74,14.5,Brazil,Hobbyist,Referral,Stripe,Refunded
ORD-0193,2024-03-29,Parachute Recovery Pack,Safety,8,84.27,10,606.74,8.74,Japan,University,Online,Manual,Completed
ORD-0194,2024-05-25,Parachute Recovery Pack,Safety,5,54.2,10,243.9,14.99,Mexico,University,Mobile App,Manual,Completed
ORD-0195,2024-02-29,Rocket Motor XZ-100,Engines,1,171.69,5,163.11,7.92,Japan,University,Online,PayPal,Completed
ORD-0196,2024-01-04,Fuel Cell GX,Fuel Systems,6,164.85,15,840.74,5.55,UK,Company,Mobile App,Manual,Refunded
ORD-0197,2024-03-26,Thruster C-21,Engines,10,181.12,15,1539.52,2.36,UK,Company,Referral,PayPal,Completed
ORD-0198,2024-01-11,Flight Computer ZB,Electronics,3,168.08,15,428.6,2.42,Brazil,Company,Online,PayPal,Completed
ORD-0199,2024-05-11,Launch Pad Mini,Hardware,9,142.15,5,1215.38,13.15,Japan,Hobbyist,Mobile App,Manual,Completed
ORD-0200,2024-04-04,Ignition Module V2,Electronics,6,159.03,5,906.47,14.27,Japan,University,Referral,Manual,Pending
ORD-0201,2024-03-03,Launch Pad Mini,Hardware,7,173.59,5,1154.37,13.78,USA,University,Referral,Manual,Pending
ORD-0202,2024-02-13,Flight Computer ZB,Electronics,2,146.06,15,248.3,12.65,UK,University,Referral,Manual,Pending
ORD-0203,2024-03-13,Ignition Module V2,Electronics,3,167.96,25,377.91,1.65,Mexico,University,Mobile App,Manual,Refunded
ORD-0204,2024-06-27,Flight Computer ZB,Electronics,10,34.87,30,244.09,14.72,Brazil,Company,Online,PayPal,Pending
ORD-0205,2024-04-24,Thruster C-21,Engines,10,151.04,15,1283.84,10.88,UK,University,Mobile App,Manual,Completed
ORD-0206,2024-02-20,Telemetry Kit Alpha,Electronics,10,148.21,5,1407.99,13.17,Canada,Hobbyist,Mobile App,PayPal,Pending
ORD-0207,2024-03-19,Parachute Recovery Pack,Safety,3,53.81,30,113.0,9.6,Canada,Hobbyist,Referral,PayPal,Pending
